កករចិត្ត	កករ-ចិត្ត
កាត់កេរ្តិ៍កាត់ខ្មាស	កាត់-កេរ្តិ៍-កាត់ខ្មាស
កាត់ក្ដី	កាត់-ក្ដី
កាត់ក្បាល	កាត់-ក្បាល
កាត់ក្បាលតម្រូវមួក	កាត់ក្បាល-តម្រូវ-មួក
កាត់ខ្សែបូ	កាត់-ខ្សែបូ
កាត់ចិត្តកាត់ថ្លើម	កាត់ចិត្ត-កាត់-ថ្លើម
កាត់ចិត្តភឹង	កាត់ចិត្ត-ភឹង
កាត់ចុង	កាត់-ចុង
កាត់ជុក	កាត់-ជុក
កាត់ដេរ	កាត់-ដេរ
កាត់ថ្លៃ	កាត់-ថ្លៃ
កាត់ទឹក	កាត់-ទឹក
កាត់ទោស	កាត់-ទោស
កាត់បណ្ដុះ	កាត់-បណ្ដុះ
កាត់មុខ	កាត់-មុខ
កាត់សក់	កាត់-សក់
កាត់សាញ	កាត់-សាញ
កាត់សាំ	កាត់-សាំ
កាត់ស្បែក	កាត់-ស្បែក
កាត់ស្លាបកែវ	កាត់-ស្លាបកែវ
កាន់កាប់	កាន់-កាប់
កាន់ការ	កាន់-ការ
កាន់ខែ	កាន់-ខែ
កាន់ខែកាន់ឆ្នាំ	កាន់ខែ-កាន់-ឆ្នាំ
កាន់ចង្កូត	កាន់-ចង្កូត
កាន់ជើង	កាន់-ជើង
កាន់តែ	កាន់-តែ
កាន់តំណែង	កាន់-តំណែង
កាន់ថ្នមដៃ	កាន់-ថ្នមដៃ
កាន់ទុក្ខ	កាន់-ទុក្ខ
កាន់បិណ្ឌ	កាន់-បិណ្ឌ
កាន់ព្រត	កាន់-ព្រត
កាន់លុយ	កាន់-លុយ
កាន់វស្សា	កាន់-វស្សា
កាន់សាសនា	កាន់-សាសនា
កាន់សីល	កាន់-សីល
កាន់ស្លែ	កាន់-ស្លែ
កាន់អង្គ	កាន់-អង្គ
កាន់អំណាច	កាន់-អំណាច
កាបូនម៉ូណូអុកស៊ីដ	កាបូន-ម៉ូណូ-អុកស៊ីដ
កាបូនីល	កាបូ-នីល
កាប៊ីន	កាប៊ី-ន
កាប៊ីនភ្លើង	កាប៊ីន-ភ្លើង
កាប់គាស់	កាប់-គាស់
កាប់ឆៅ	កាប់-ឆៅ
កាប់ឆ្ការ	កាប់-ឆ្ការ
កាប់ថ្មចំណាំ	កាប់-ថ្ម-ចំណាំ
កាប់មួយខ្ពាប់	កាប់-មួយ-ខ្ពាប់
កាប់សម្លាប់	កាប់-សម្លាប់
កាប់ស្តាំង	កាប់-ស្តាំ-ង
កាពិផាវ	កាពិ-ផាវ
កាពិផៅ	កាពិ-ផៅ
