កករចិត្ត	កករ-ចិត្ត
កាលសម័យប្រវត្តិសាស្ត្រ	កាលសម័យ-ប្រវត្តិសាស្ត្រ
កាលសម្បត្តិ	កាល-សម្បត្តិ
កាលានុវត្តនិយម	កាលានុវត្ត-និយម
កាលានុវត្តភាព	កាលានុវត្ត-ភាព
កាលិកបត្រ	កាលិក-បត្រ
កាលៈទេសៈ	កាលៈ-ទេសៈ
កាសមួយត្រណោត	កាស-មួយ-ត្រណោត
កាសអង្ករ	កាស-អង្ករ
កាសាវពស្ត្រ	កាសាវ-ពស្ត្រ
កាស៊ីណូម	កាស៊ីណូ-ម
កាហ្វេ	កា-ហ្វេ
កាឡកិណី	កាឡ-កិ-ណី
កាឡាប៉ា	កាឡា-ប៉ា
កាឡារូប	កាឡា-រូប
កាឡាសូរ	កាឡា-សូរ
កាឡូរី	កាឡូ-រី
កាឡូរីមាត្រសាស្ត្រ	កាឡូរី-មាត្រ-សាស្ត្រ
កាឡូរីម៉ែត្រ	កាឡូរី-ម៉ែត្រ
កាំជណ្ដើរ	កាំ-ជណ្ដើរ
កាំជ្រួចទឹកក្ដៅ	កាំជ្រួច-ទឹក-ក្ដៅ
កាំបិត	កាំ-បិត
កាំបិតកោរ	កាំបិត-កោរ
កាំបិតស្នៀត	កាំបិត-ស្នៀត
កាំបិតស្លា	កាំបិត-ស្លា
កាំប្រមា	កាំ-ប្រមា
កាំប្រាក់	កាំ-ប្រាក់
កាំពន្លឺ	កាំ-ពន្លឺ
កាំភ្លើង	កាំ-ភ្លើង
កាំភ្លោះ	កាំ-ភ្លោះ
កាំម្រឹត	កាំ-ម្រឹត
កាំរន្ទះ	កាំ-រន្ទះ
កាំរស្មី	កាំ-រស្មី
កិកកុក	កិ-កកុក
កិច្ចកល	កិច្ច-កល
កិច្ចការ	កិច្ច-ការ
កិច្ចការតុលាការ	កិច្ចការ-តុលាការ
កិច្ចការផ្ទះ	កិច្ចការ-ផ្ទះ
កិច្ចការស្រាវជ្រាវ	កិច្ច-ការស្រាវជ្រាវ
កិច្ចតែងការ	កិច្ច-តែង-ការ
កិច្ចតែងការបង្រៀន	កិច្ចតែងការ-បង្រៀន
កិច្ចទីផ្សារ	កិច្ច-ទីផ្សារ
កិច្ចទីផ្សារការី	កិច្ចទីផ្សារ-ការី
កិច្ចទីផ្សារចម្រុះ	កិច្ចទីផ្សារ-ចម្រុះ
កិច្ចនីតិវិធី	កិច្ច-នីតិវិធី
កិច្ចព្រមព្រៀង	កិច្ច-ព្រមព្រៀង
កិច្ចព្រមព្រៀងសន្តិភាព	កិច្ចព្រមព្រៀង-សន្តិភាព
កិច្ចសន្យា	កិច្ច-សន្យា
កិច្ចសន្យាការងារ	កិច្ចសន្យា-ការងារ
កិច្ចសន្យាខ្ចី	កិច្ចសន្យា-ខ្ចី
កិច្ចសន្យាជួល	កិច្ចសន្យា-ជួល
កិច្ចសន្យាទិញលក់	កិច្ចសន្យា-ទិញ-លក់
កិច្ចសន្យាបញ្ចាំ	កិច្ចសន្យា-បញ្ចាំ
កិច្ចសមភាព	កិច្ច-សមភាព
កិតនាម	កិត-នាម
កិតអាចម៍	កិត-អាចម៍
កិត្តិ	កិ-ត្តិ
កិត្តិគុណ	កិត្តិ-គុណ
កិត្តិនាម	កិត្តិ-នាម
កិត្តិយស	កិត្តិ-យស
កិត្តិសព្ទ	កិត្តិ-សព្ទ
កិន្នរ	កិ-ន្ន-រ
កិន្នរី	កិ-ន្ន-រី
កិបកេង	កិប-កេង
កិរិយវាទ	កិរិយ-វាទ
កិរិយវាទិនី	កិរិយ-វាទិនី
កិរិយវាទី	កិរិយ-វា-ទី
កិរិយា	កិ-រិយា
កិរិយាវិសេសន៍	កិរិយា-វិសេសន៍
កិរិយាសព្ទ	កិរិយា-សព្ទ
កិរិយាសព្ទទោល	កិរិយាសព្ទ-ទោល
កិរិយាសព្ទអកម្ម	កិរិយាសព្ទ-អកម្ម
កិរ្តិសព្ទ	កិរ្តិ-សព្ទ
កីតម្បាញ	កី-តម្បាញ
កីឡដ្ឋាន	កី-ឡ-ដ្ឋាន
កីឡនដ្ឋាន	កី-ឡ-ន-ដ្ឋាន
កីឡាករ	កីឡា-ករ
កីឡាករជម្រើសជាតិ	កីឡាករ-ជម្រើសជាតិ
កីឡាករបម្រុង	កីឡាករ-បម្រុង
កីឡាករអាជីព	កីឡាករ-អាជីព
កីឡាការិនី	កីឡា-ការិនី
កីឡាដ្ឋាន	កីឡា-ដ្ឋាន
កីឡាភូមិ	កីឡា-ភូមិ
កីឡាមណ្ឌល	កីឡា-មណ្ឌល
កីឡាអត្តពលកម្ម	កីឡា-អត្តពលកម្ម
កីឡាអូឡាំពិក	កីឡា-អូឡាំពិក
កឹងកន្ត្រៃ	កឹង-កន្ត្រៃ
កុក្កុដនេត្រ	កុក្កុដ-នេត្រ
កុក្កុដបក្សី	កុក្កុដ-បក្សី
កុងកាប់	កុង-កាប់
កុងតាក់	កុង-តាក់
កុងត្រូល	កុង-ត្រូល
កុងផាត់	កុង-ផាត់
កុងស៊ី	កុង-ស៊ី
កុងស៊ុល	កុង-ស៊ុល
កុង្សីយ៍សេនាបតី	កុង្សីយ៍-សេនាបតី
កុដិកភត្ត	កុដិ-ក-ភត្ត
កុដិថែវ	កុដិ-ថែវ
កុណ្ឌក	កុណ្ឌ-ក
កុណ្ឌល	កុណ្ឌ-ល
កុបកម្ម	កុប-កម្ម
កុមារដ្ឋាន	កុមារ-ដ្ឋាន
កុមារភាព	កុមារ-ភាព
កុមារសង្គ្រោះ	កុមារ-សង្គ្រោះ
កុមារានុគ្រោះ	កុមារា-នុគ្រោះ
កុមារី	កុមា-រី
កុម្ភការ	កុម្ភ-ការ
កុម្ភការដ្ឋាន	កុម្ភ-ការដ្ឋាន
កុម្ភការភណ្ឌ	កុម្ភការ-ភណ្ឌ
កុម្មុយនីស្តនិយម	កុម្មុយនីស្ត-និយម
កុម្ម៉ង់ដូ	កុម្ម៉ង់-ដូ
កុលធីតា	កុល-ធីតា
កុលបលិពោធ	កុល-បលិពោធ
កុលបុត្រ	កុល-បុត្រ
កុលពិរោធ	កុល-ពិរោធ
កុលមច្ឆរិយៈ	កុល-មច្ឆរិយៈ
កុលវគ្គ	កុល-វគ្គ
កុលវន្ត	កុល-វន្ត
កុលវិបត្តិ	កុល-វិបត្តិ
កុលសម្បត្តិ	កុល-សម្បត្តិ
កុលសម្ព័ន្ធ	កុល-សម្ព័ន្ធ
កុលាលភណ្ឌ	កុលាល-ភណ្ឌ
កុលាលភាជន៍	កុលាល-ភាជន៍
កុសលកម្ម	កុសល-កម្ម
កុសលមូល	កុសល-មូល
កុសលរស	កុសល-រស
កុសលោបាយ	កុស-លោ-បាយ
កុហកឆ្កៀលក្រសាំង	កុហក-ឆ្កៀល-ក្រសាំង
កុំប៊ីណា	កុំ-ប៊ី-ណា
កុំផ្ទុកតាមថ្វែ	កុំ-ផ្ទុក-តាម-ថ្វែ
កុំផ្លិច	កុំ-ផ្លិច
កុំមាត់!	កុំមាត់-!
កុំមាត់ឮពេក!	កុំមាត់-ឮ-ពេក-!
កុំវរ!	កុំ-វរ-!
កុំអាលអើ!	កុំអាល-អើ-!
កុំអំពល់!	កុំអំពល់-!
កុះកុំ	កុះ-កុំ
កូដកម្ម	កូដ-កម្ម
កូដការ	កូដ-ការ
កូដនីយកម្ម	កូដ-នី-យ-កម្ម
កូដវិទ្យា	កូដ-វិទ្យា
កូដោបាយ	កូ-ដោ-បាយ
កូទីលេដុង	កូ-ទី-លេ-ដុង
កូនកញ្ច្រែង	កូន-កញ្ច្រែង
កូនកណ្ដុរ	កូន-កណ្ដុរ
កូនកាត់	កូន-កាត់
កូនកាំបិត	កូន-កាំបិត
កូនកំព្រា	កូន-កំព្រា
កូនកំលោះ	កូន-កំលោះ
កូនក្រក	កូន-ក្រក
កូនក្រមុំ	កូន-ក្រមុំ
កូនក្រឡឹង	កូន-ក្រឡឹង
កូនក្រាញ់	កូន-ក្រាញ់
កូនក្រាប់	កូន-ក្រាប់
កូនក្អុក	កូន-ក្អុក
កូនខ្ចី	កូន-ខ្ចី
កូនគោល	កូន-គោល
កូនគ្លី	កូន-គ្លី
កូនឃ្លី	កូន-ឃ្លី
កូនង៉ា	កូន-ង៉ា
កូនង៉ែត	កូន-ង៉ែត
កូនចត្រង្គ	កូន-ចត្រង្គ
កូនចាប	កូន-ចាប
កូនចិញ្ចឹម	កូន-ចិញ្ចឹម
កូនចៀម	កូន-ចៀម
កូនជញ្ជីង	កូន-ជញ្ជីង
កូនជាង	កូន-ជាង
កូនជឹង	កូន-ជឹង
កូនជ្រូក	កូន-ជ្រូក
កូនឈ្នួល	កូន-ឈ្នួល
កូនឈ្លប	កូន-ឈ្លប
កូនតឹង	កូន-តឹង
កូនត្រី	កូន-ត្រី
កូនទន្ទឹមស្មា	កូន-ទន្ទឹមស្មា
កូនទម្រើស	កូន-ទម្រើស
កូនទោល	កូន-ទោល
កូនបង្កើត	កូន-បង្កើត
កូនបញ្ញើក្អែក	កូន-បញ្ញើក្អែក
កូនបណ្ដែត	កូន-បណ្ដែត
កូនបំណុល	កូន-បំណុល
កូនប្រយោល	កូន-ប្រយោល
កូនប្រសា	កូន-ប្រសា
កូនភ្លោះ	កូន-ភ្លោះ
កូនមិនគ្រប់ខែ	កូន-មិន-គ្រប់ខែ
កូនមួយសម្បុក	កូន-មួយ-សម្បុក
កូនរដូវប្រាំង	កូន-រដូវប្រាំង
កូនលោក	កូន-លោក
កូនសង្កត់	កូន-សង្កត់
កូនសុំ	កូន-សុំ
កូនសេក្ខ	កូន-សេក្ខ
កូនស្ងើន	កូន-ស្ងើន
កូនអុក	កូន-អុក
កូនឥតខាន់ស្លា	កូន-ឥតខាន់ស្លា
កូវីដ១៩	កូ-វី-ដ-១៩
កូអ័រដោណេ	កូ-អ័រដោណេ
កូអ័រដោណេភូមិសាស្ត្រ	កូអ័រដោណេ-ភូមិសាស្ត្រ
កើតកូន	កើត-កូន
កើតក្ដី	កើត-ក្ដី
កើតដំណើរ	កើត-ដំណើរ
កើតទុក្ខស្ទើរប្រេះទ្រូង	កើតទុក្ខ-ស្ទើរ-ប្រេះទ្រូង
កើតមិនគ្រប់ខែ	កើត-មិន-គ្រប់ខែ
កើតរោគ	កើត-រោគ
កើតស្នឹមក្នុងផ្ទះ	កើតស្នឹមក្នុង-ផ្ទះ
កើលប្រើស	កើល-ប្រើស
កៀកកិត	កៀក-កិត
កៀនស្វាយ	កៀន-ស្វាយ
កេងកាង	កេង-កាង
កេងចំណេញ	កេង-ចំណេញ
