word	status	source	decision	note
កាយា	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
ការគួរ	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
ការចប់	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
ការចែក	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
ការណែនាំ	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
ការនោះ	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
ការលោះ	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
ការហាត់	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
ការអាល	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
ការីនី	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
ការុញ្ញ	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
ការេ	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
ការេម	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
ការេមកី	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
ការ៉ង់	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
ការ៉ាតេ	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
ការ៉ាំង	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កាលនោះ	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កាលបើ	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កាលពី	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កាលេ	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កាវែន	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កាសិត	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កាស្យូ	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កាហាត់	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កាហែង	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កាឡុង	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កាឡូ	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កាឡែង	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កាំកង់	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កាំមីញ៉ុង	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កាំម្ញ៉ុង	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កាំម្រឹក	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កាំរទេះ	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កាំសរ	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កាំសាប	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កិក	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កិចុង	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កិណសិលា	approved	reviewed	variant	no Chuon definition; legacy word
កិត្តសព្ទ	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កិរិយាវាទី	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កីសោ	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កឹង	approved	reviewed	standard	no Chuon definition; legacy word
កុកស	approved	reviewed	standard	no Chuon definition; legacy word
កុក្កុដ	approved	reviewed	variant	no Chuon definition; legacy word
កុងកាច់	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កុងវ័រ	approved	reviewed	standard	no Chuon definition; legacy word
កុងសូល	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កុងសែ	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កុញ្ចែ	approved	reviewed	variant	no Chuon definition; legacy word
កុដុម្ពិក	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កុណ្ឌ	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កុត	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កុនការ	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កុមារា	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កុម្ភការី	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
